MS4647A
!7/22/2011.3:43:55.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,OFF               ,OFF               ,OFF               ,OFF               
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,LOGMAG1,PHASE1.DEG,FREQ2.GHZ,LOGMAG2,PHASE2.DEG,FREQ3.GHZ,LOGMAG3,PHASE3.DEG,FREQ4.GHZ,LOGMAG4,PHASE4.DEG
1,12.000000000,-3.157333E+001,-51.8089500,12.000000000,1.409761E-001,-6.0395670,12.000000000,1.509287E-001,-6.0261110,12.000000000,-2.618203E+001,-36.2333300
2,12.015500000,-3.054543E+001,-57.0431200,12.015500000,1.377889E-001,-5.9560190,12.015500000,1.464116E-001,-5.9803170,12.015500000,-2.636686E+001,-29.2590700
3,12.031000000,-2.999213E+001,-63.3822400,12.031000000,1.363211E-001,-6.0263390,12.031000000,1.424103E-001,-5.9617980,12.031000000,-2.660981E+001,-22.3191500
4,12.046500000,-2.978893E+001,-72.1025500,12.046500000,1.401270E-001,-6.0171930,12.046500000,1.459465E-001,-5.9553510,12.046500000,-2.688875E+001,-14.1566400
5,12.062000000,-3.000007E+001,-79.3032400,12.062000000,1.361250E-001,-5.9886010,12.062000000,1.422615E-001,-5.9788450,12.062000000,-2.711168E+001,-5.3274110
6,12.077500000,-3.053961E+001,-85.7495300,12.077500000,1.376580E-001,-5.9550700,12.077500000,1.375161E-001,-5.9379640,12.077500000,-2.732714E+001,3.1668980
7,12.093000000,-3.126979E+001,-89.3094600,12.093000000,1.347450E-001,-5.9445840,12.093000000,1.364777E-001,-5.9090070,12.093000000,-2.746629E+001,12.0658300
8,12.108500000,-3.184278E+001,-91.1128500,12.108500000,1.323512E-001,-5.9186730,12.108500000,1.412858E-001,-5.8864210,12.108500000,-2.753559E+001,21.3009300
9,12.124000000,-3.238542E+001,-90.3283100,12.124000000,1.317400E-001,-5.8691360,12.124000000,1.367390E-001,-5.8490210,12.124000000,-2.737657E+001,30.0398300
10,12.139500000,-3.214486E+001,-89.1107600,12.139500000,1.322337E-001,-5.8082250,12.139500000,1.406528E-001,-5.7628260,12.139500000,-2.708324E+001,37.8424900
11,12.155000000,-3.088056E+001,-85.8939400,12.155000000,1.308434E-001,-5.7188980,12.155000000,1.392973E-001,-5.7025550,12.155000000,-2.673079E+001,44.5566200
12,12.170500000,-3.072425E+001,-89.3274500,12.170500000,1.348052E-001,-5.6565090,12.170500000,1.387538E-001,-5.6179910,12.170500000,-2.632038E+001,49.7413300
